B,R,c,method,risk
10,4,1,SR,0.576749383
10,4,1,DR,0.385844308
10,4,1,ACW,3.529533079
10,4,1,COKE,0.354266328
10,4,1,SR,0.68569264
10,4,1,DR,0.19468953
10,4,1,ACW,25.97084374
10,4,1,COKE,0.388160361
10,4,1,SR,0.539680715
10,4,1,DR,0.445036711
10,4,1,ACW,0.464784288
10,4,1,COKE,0.286654085
10,4,1,SR,0.403761253
10,4,1,DR,0.47414907
10,4,1,ACW,0.654811503
10,4,1,COKE,0.247456696
10,4,1,SR,0.696270313
10,4,1,DR,0.404389809
10,4,1,ACW,0.776679139
10,4,1,COKE,0.355491946
10,4,1,SR,0.716742622
10,4,1,DR,0.218988139
10,4,1,ACW,2.57613647
10,4,1,COKE,0.361018792
10,4,1,SR,0.507666037
10,4,1,DR,0.194671085
10,4,1,ACW,0.23909681
10,4,1,COKE,0.241181909
10,4,1,SR,0.4767848
10,4,1,DR,0.677853731
10,4,1,ACW,1.071532856
10,4,1,COKE,0.226738877
10,4,1,SR,0.587077629
10,4,1,DR,0.32516364
10,4,1,ACW,0.409858747
10,4,1,COKE,0.291140344
10,4,1,SR,0.280147263
10,4,1,DR,0.589248478
10,4,1,ACW,0.879696389
10,4,1,COKE,0.144938963
10,4,1,SR,0.61962371
10,4,1,DR,0.28709928
10,4,1,ACW,1.35681381
10,4,1,COKE,0.285209894
10,4,1,SR,0.620944175
10,4,1,DR,0.267728745
10,4,1,ACW,0.502125867
10,4,1,COKE,0.259060962
10,4,1,SR,0.783032042
10,4,1,DR,0.260679306
10,4,1,ACW,1.236535574
10,4,1,COKE,0.46676958
10,4,1,SR,0.392832516
10,4,1,DR,0.592506374
10,4,1,ACW,0.227359581
10,4,1,COKE,0.203366819
10,4,1,SR,0.666725036
10,4,1,DR,0.425967951
10,4,1,ACW,0.535354483
10,4,1,COKE,0.321120439
10,4,1,SR,0.38403157
10,4,1,DR,0.47025502
10,4,1,ACW,0.875356665
10,4,1,COKE,0.207395341
10,4,1,SR,0.465516739
10,4,1,DR,0.337743996
10,4,1,ACW,0.318391717
10,4,1,COKE,0.193455654
10,4,1,SR,0.672746657
10,4,1,DR,0.477500266
10,4,1,ACW,2.933824238
