nt,method,risk
500,SR,0.402196896
500,DR,0.528962816
500,ACW,0.496053671
500,COKE,0.156227529
500,RLearner,0.279144628
500,SR,0.56522147
500,DR,0.257839822
500,ACW,2.897012702
500,COKE,0.317634873
500,RLearner,0.285871216
500,SR,0.460113462
500,DR,1.459374325
500,ACW,0.419885333
500,COKE,0.222819987
500,RLearner,0.346518592
500,SR,0.339503113
500,DR,0.419454972
500,ACW,0.471555514
500,COKE,0.47648653
500,RLearner,0.2818614
500,SR,0.65605471
500,DR,0.400188608
500,ACW,0.482598169
500,COKE,0.213824234
500,RLearner,0.328636766
500,SR,0.397010982
500,DR,0.521399283
500,ACW,0.897280442
500,COKE,0.215746094
500,RLearner,0.228284358
500,SR,0.721678524
500,DR,0.389726844
500,ACW,0.676025092
500,COKE,0.179642891
500,RLearner,0.2577791
500,SR,0.569070176
500,DR,0.486220582
500,ACW,0.68140406
500,COKE,0.201137075
500,RLearner,0.195531118
500,SR,0.569332688
500,DR,0.255500499
500,ACW,3.169155995
500,COKE,0.288421582
500,RLearner,0.358837877
500,SR,0.514790578
500,DR,0.467967594
500,ACW,0.294303974
500,COKE,0.206870368
500,RLearner,0.249131316
500,SR,0.6971156
500,DR,0.271257277
500,ACW,1.572605715
500,COKE,0.259658701
500,RLearner,0.22148894
750,SR,0.662258758
750,DR,0.289755999
750,ACW,0.457083114
750,COKE,0.192134425
750,RLearner,0.386967488
750,SR,0.649176337
750,DR,0.320960595
750,ACW,2.498382822
750,COKE,0.213098789
750,RLearner,0.202403109
750,SR,0.590071097
750,DR,0.411500682
750,ACW,0.400107263
750,COKE,0.256573871
750,RLearner,0.371815699
750,SR,0.663068457
750,DR,0.378297396
750,ACW,4.827594533
750,COKE,0.196360087
750,RLearner,0.256525239
750,SR,0.381900417
750,DR,0.394012889
750,ACW,0.296755285
750,COKE,0.227345969
750,RLearner,0.315887991
750,SR,0.372218521
750,DR,0.393467524
750,ACW,0.176224554
750,COKE,0.200637805
750,RLearner,0.225490143
750,SR,0.425889676
750,DR,0.310946681
750,ACW,4.023427956
750,COKE,0.245624844
750,RLearner,0.217845151
750,SR,0.282612214
750,DR,0.479967528
750,ACW,0.460931663
750,COKE,0.173473693
750,RLearner,0.262986056
750,SR,0.367820093
750,DR,0.179182159
750,ACW,8.858034183
750,COKE,0.1683919
750,RLearner,0.374966955
750,SR,0.580354983
750,DR,0.401132749
750,ACW,0.442883518
750,COKE,0.206555198
750,RLearner,0.357905479
750,SR,0.355122909
750,DR,0.317322641
750,ACW,2.730612523
750,COKE,0.161504339
750,RLearner,0.177881504
750,SR,0.422914135
750,DR,0.336893443
750,ACW,0.482132072
750,COKE,0.243277981
750,RLearner,0.253670912
750,SR,0.296564853
750,DR,0.441068606
750,ACW,0.904116717
750,COKE,0.194759634
750,RLearner,0.319084104
750,SR,0.367645003
750,DR,0.606211413
750,ACW,15.63337907
750,COKE,0.178830183
750,RLearner,0.299282478
750,SR,0.453445008
750,DR,0.34423116
750,ACW,0.20499102
750,COKE,0.260933345
750,RLearner,0.347516466
750,SR,0.477743605
750,DR,0.271898656
750,ACW,1.453742013
750,COKE,0.228299597
750,RLearner,0.170716143
750,SR,0.423587375
750,DR,0.284718402
750,ACW,0.406643901
750,COKE,0.280301663
750,RLearner,0.380738051
750,SR,0.369966543
750,DR,0.276874522
750,ACW,0.369890144
750,COKE,0.186657133
750,RLearner,0.269198147
750,SR,0.424246005
750,DR,0.382182731
750,ACW,2.216642958
750,COKE,0.190298303
750,RLearner,0.399646901
750,SR,0.266742302
750,DR,0.439801116
750,ACW,0.47417048
750,COKE,0.150867249
750,RLearner,0.309726665
750,SR,0.534393397
750,DR,0.261291152
750,ACW,0.790661956
750,COKE,0.209473879
750,RLearner,0.179836692
750,SR,0.439879085
750,DR,0.357164495
750,ACW,1.287947431
750,COKE,0.166872977
750,RLearner,0.26424649
750,SR,0.548458058
750,DR,0.519698415
750,ACW,1.32263648
750,COKE,0.182137909
750,RLearner,0.327737351
750,SR,0.428813603
750,DR,0.276648369
750,ACW,0.364683762
750,COKE,0.186998624
750,RLearner,0.26906171
750,SR,0.43092806
750,DR,0.197788894
750,ACW,2.594725734
750,COKE,0.265994252
750,RLearner,0.206881456
750,SR,0.474640569
750,DR,0.342276475
750,ACW,0.651876335
750,COKE,0.190852695
750,RLearner,0.232548638
750,SR,0.323063208
750,DR,0.385145497
750,ACW,4.910808319
750,COKE,0.213995162
750,RLearner,0.34010073
750,SR,0.498853449
750,DR,0.304387638
750,ACW,1.340918466
750,COKE,0.173715963
750,RLearner,0.239681155
750,SR,0.462900642
750,DR,0.312740682
750,ACW,1.919652991
750,COKE,0.267040678
750,RLearner,0.21763687
750,SR,0.648796067
750,DR,0.268136224
750,ACW,4.380747841
750,COKE,0.218149868
750,RLearner,0.23820121
750,SR,0.634561913
750,DR,0.231138172
750,ACW,0.960207942
750,COKE,0.320307079
750,RLearner,0.183890053
750,SR,0.536236332
750,DR,0.377692311
750,ACW,11.27070753
750,COKE,0.227715181
750,RLearner,0.315358517
750,SR,0.695147564
750,DR,0.291714628
750,ACW,0.399916162
750,COKE,0.172147929
750,RLearner,0.41812115
750,SR,0.349265663
750,DR,0.399821327
750,ACW,0.58811233
750,COKE,0.164852183
750,RLearner,0.323839951
750,SR,0.492080382
750,DR,0.572904081
750,ACW,0.484386813
750,COKE,0.178375338
750,RLearner,0.195221153
750,SR,0.311191043
750,DR,0.230073339
750,ACW,0.507303247
750,COKE,0.25629294
750,RLearner,0.31499533
750,SR,0.469519859
750,DR,0.200383854
750,ACW,0.285618518
